STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        403;17301001;17301031;    5;  -999;   5.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17301101;17301130;    5;  -999;   6.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17301201;17301231;    5;  -999;   1.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310101;17310131;    5;  -999;  -2.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310201;17310228;    5;  -999;  -1.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310301;17310331;    5;  -999;   2.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310401;17310430;    5;  -999;   6.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310501;17310531;    5;  -999;  11.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310601;17310630;    5;  -999;  14.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310701;17310731;    5;  -999;  15.70;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310801;17310831;    5;  -999;  15.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17310901;17310930;    5;  -999;  13.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17311001;17311031;    5;  -999;  10.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17311101;17311130;    5;  -999;   4.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17311201;17311231;    5;  -999;   1.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320101;17320131;    5;  -999;  -2.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320201;17320229;    5;  -999;   2.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320301;17320331;    5;  -999;   4.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320401;17320430;    5;  -999;   9.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320501;17320531;    5;  -999;  13.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320601;17320630;    5;  -999;  14.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320701;17320731;    5;  -999;  15.10;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320801;17320831;    5;  -999;  15.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17320901;17320930;    5;  -999;  12.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17321001;17321031;    5;  -999;   9.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17321101;17321130;    5;  -999;   3.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17321201;17321231;    5;  -999;  -3.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
